Parsing sort-100,500,5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_19_01_05	DPQ_19_02_10	
100	64	REVERSE___	STAGGER	 0.0000163	 0.0008995	 0.0008935	 0.0009382	 0.0008684	
100	64	REVERSE___	SAWTOTH	 0.0000161	 0.0006303	 0.0007547	 0.0007792	 0.0003335	
100	64	REVERSE___	_RANDOM	 0.0000162	 0.0007641	 0.0008342	 0.0007997	 0.0008766	
100	64	REVERSE___	PLATEAU	 0.0000162	 0.0003388	 0.0003207	 0.0002956	 0.0001034	
100	64	REVERSE___	SHUFFLE	 0.0000164	 0.0004696	 0.0004286	! 0.0004534	! 0.0004640	
100	64	REVERSE_FR	STAGGER	 0.0000162	 0.0006906	 0.0010689	 0.0010228	 0.0009540	
100	64	REVERSE_FR	SAWTOTH	 0.0000162	 0.0008715	 0.0011774	 0.0010628	 0.0002731	
100	64	REVERSE_FR	_RANDOM	 0.0000164	 0.0007642	 0.0008258	 0.0008021	 0.0007997	
100	64	REVERSE_FR	PLATEAU	 0.0000164	 0.0004120	 0.0006482	 0.0005200	 0.0000853	
100	64	REVERSE_FR	SHUFFLE	 0.0000165	 0.0004626	 0.0005969	 0.0005285	! 0.0003959	
100	64	REVERSE_BA	STAGGER	 0.0000163	 0.0009303	 0.0008226	 0.0007923	 0.0008260	
100	64	REVERSE_BA	SAWTOTH	 0.0000162	 0.0007884	 0.0007119	 0.0007478	 0.0007319	
100	64	REVERSE_BA	_RANDOM	 0.0000163	 0.0007376	 0.0008459	 0.0007907	 0.0008452	
100	64	REVERSE_BA	PLATEAU	 0.0000162	 0.0003107	 0.0003019	 0.0004886	 0.0002561	
100	64	REVERSE_BA	SHUFFLE	 0.0000164	 0.0003533	! 0.0015876	 0.0004767	! 0.0007331	
100	64	SORT______	STAGGER	 0.0000161	 0.0001367	 0.0001471	 0.0001553	 0.0000535	
100	64	SORT______	SAWTOTH	 0.0000161	 0.0001212	 0.0001419	 0.0001516	 0.0000437	
100	64	SORT______	_RANDOM	 0.0000161	 0.0001234	 0.0001439	 0.0001424	 0.0000497	
100	64	SORT______	PLATEAU	 0.0000192	 0.0001235	 0.0001377	 0.0001348	 0.0000475	
100	64	SORT______	SHUFFLE	 0.0000161	 0.0001205	 0.0001427	 0.0001382	 0.0000507	
100	64	DITHER____	STAGGER	 0.0000162	 0.0009928	 0.0010694	 0.0008644	 0.0009284	
100	64	DITHER____	SAWTOTH	 0.0000162	 0.0008352	 0.0007943	 0.0007769	 0.0007960	
100	64	DITHER____	_RANDOM	 0.0000163	 0.0007660	 0.0008869	 0.0008388	 0.0009335	
100	64	DITHER____	PLATEAU	 0.0000163	 0.0006488	 0.0005332	 0.0005253	 0.0005050	
100	64	DITHER____	SHUFFLE	 0.0000163	 0.0003541	! 0.0037605	 0.0003606	 0.0003720	
500	1	IDENT_____	STAGGER	 0.0000379	 0.0013755	 0.0075800	 0.0075043	 0.0012115	
500	1	IDENT_____	SAWTOTH	 0.0000357	 0.0001999	 0.0001899	 0.0001976	 0.0001243	
500	1	IDENT_____	_RANDOM	 0.0000357	 0.0001997	 0.0001966	 0.0001932	 0.0001225	
500	1	IDENT_____	PLATEAU	 0.0000356	 0.0002067	 0.0004021	 0.0003450	 0.0002038	
500	1	IDENT_____	SHUFFLE	 0.0000390	 0.0001985	 0.0009373	 0.0009748	 0.0002005	
500	1	REVERSE___	STAGGER	 0.0000357	 0.0018411	 0.0060451	 0.0078765	 0.0015246	
500	1	REVERSE___	SAWTOTH	 0.0000352	 0.0002005	 0.0001913	 0.0002229	 0.0001229	
500	1	REVERSE___	_RANDOM	 0.0000404	 0.0001978	 0.0001854	 0.0001931	 0.0001236	
500	1	REVERSE___	PLATEAU	 0.0000357	 0.0004533	 0.0003940	 0.0003957	 0.0001295	
500	1	REVERSE___	SHUFFLE	 0.0000358	 0.0004297	 0.0022855	 0.0032689	 0.0004622	
500	1	REVERSE_FR	STAGGER	 0.0000354	 0.0016527	 0.0088926	! 0.0105485	 0.0013593	
500	1	REVERSE_FR	SAWTOTH	 0.0000362	 0.0001987	 0.0001978	 0.0001969	 0.0001219	
500	1	REVERSE_FR	_RANDOM	 0.0000352	 0.0001998	 0.0001973	 0.0002089	 0.0001229	
500	1	REVERSE_FR	PLATEAU	 0.0000358	 0.0010342	 0.0004071	 0.0004032	 0.0001443	
500	1	REVERSE_FR	SHUFFLE	 0.0000358	 0.0003301	 0.0035265	 0.0031546	 0.0003467	
500	1	REVERSE_BA	STAGGER	 0.0000357	 0.0015677	 0.0093215	 0.0067045	 0.0012990	
500	1	REVERSE_BA	SAWTOTH	 0.0000408	 0.0001944	 0.0002159	 0.0002046	 0.0001174	
500	1	REVERSE_BA	_RANDOM	 0.0000354	 0.0001991	 0.0001908	 0.0002006	 0.0001234	
500	1	REVERSE_BA	PLATEAU	 0.0000357	 0.0002035	 0.0004013	 0.0003959	 0.0002031	
500	1	REVERSE_BA	SHUFFLE	 0.0000357	 0.0015694	 0.0029118	 0.0029027	 0.0012787	
500	1	SORT______	STAGGER	 0.0000430	 0.0001952	 0.0009531	 0.0010862	 0.0001529	
500	1	SORT______	SAWTOTH	 0.0000383	 0.0001957	 0.0001904	 0.0002118	 0.0001235	
500	1	SORT______	_RANDOM	 0.0000346	 0.0001993	 0.0002016	 0.0001963	 0.0001272	
500	1	SORT______	PLATEAU	 0.0000346	 0.0002028	 0.0004059	 0.0004032	 0.0002061	
500	1	SORT______	SHUFFLE	 0.0000452	 0.0001922	 0.0009345	 0.0010030	 0.0001964	
500	1	DITHER____	STAGGER	 0.0000353	 0.0046820	 0.0085196	 0.0096983	 0.0084488	
500	1	DITHER____	SAWTOTH	 0.0000358	 0.0024344	 0.0014793	 0.0014530	 0.0014125	
500	1	DITHER____	_RANDOM	 0.0000357	 0.0025099	 0.0014396	 0.0014384	 0.0014535	
500	1	DITHER____	PLATEAU	 0.0000357	 0.0025046	 0.0014432	 0.0014749	 0.0014811	
500	1	DITHER____	SHUFFLE	 0.0000358	 0.0024540	 0.0012076	 0.0012815	 0.0015358	
500	4	IDENT_____	STAGGER	 0.0000406	 0.0031033	 0.0066360	 0.0071194	 0.0069226	
500	4	IDENT_____	SAWTOTH	 0.0000416	 0.0017385	 0.0010515	 0.0012366	 0.0012667	
500	4	IDENT_____	_RANDOM	 0.0000356	 0.0019016	! 0.0014214	 0.0012786	 0.0011920	
500	4	IDENT_____	PLATEAU	 0.0000368	 0.0002015	 0.0003856	 0.0004111	 0.0002036	
500	4	IDENT_____	SHUFFLE	 0.0000356	 0.0055061	 0.0050561	 0.0042813	 0.0048741	
500	4	REVERSE___	STAGGER	 0.0000353	 0.0035207	 0.0058572	! 0.0094288	! 0.0128456	
500	4	REVERSE___	SAWTOTH	 0.0000391	 0.0022045	 0.0011242	 0.0011648	 0.0016724	
500	4	REVERSE___	_RANDOM	 0.0000353	 0.0019054	 0.0011093	 0.0010584	 0.0013050	
500	4	REVERSE___	PLATEAU	 0.0000354	 0.0004580	 0.0004082	 0.0003615	 0.0001359	
500	4	REVERSE___	SHUFFLE	 0.0000358	 0.0057273	 0.0053747	 0.0049922	 0.0047327	
500	4	REVERSE_FR	STAGGER	 0.0000358	 0.0033155	 0.0080316	! 0.0106782	 0.0094812	
500	4	REVERSE_FR	SAWTOTH	 0.0000392	 0.0026159	 0.0010021	 0.0009915	 0.0009634	
500	4	REVERSE_FR	_RANDOM	 0.0000407	 0.0018785	 0.0010963	 0.0011687	 0.0010791	
500	4	REVERSE_FR	PLATEAU	 0.0000358	 0.0010974	 0.0004123	 0.0003572	 0.0001394	
500	4	REVERSE_FR	SHUFFLE	 0.0000408	 0.0050376	 0.0045540	 0.0041049	 0.0041307	
500	4	REVERSE_BA	STAGGER	 0.0000353	 0.0035721	 0.0070254	 0.0066389	 0.0062894	
500	4	REVERSE_BA	SAWTOTH	 0.0000354	 0.0018128	 0.0011581	 0.0011289	 0.0014365	
500	4	REVERSE_BA	_RANDOM	 0.0000354	 0.0022845	 0.0011321	 0.0011062	 0.0010566	
500	4	REVERSE_BA	PLATEAU	 0.0000354	 0.0002076	 0.0004085	 0.0003721	 0.0002037	
500	4	REVERSE_BA	SHUFFLE	 0.0000356	 0.0049742	 0.0054631	 0.0054695	 0.0062424	
500	4	SORT______	STAGGER	 0.0000346	 0.0002045	 0.0010080	 0.0010220	 0.0002085	
500	4	SORT______	SAWTOTH	 0.0000383	 0.0002044	 0.0011277	 0.0009821	 0.0001911	
500	4	SORT______	_RANDOM	 0.0000431	 0.0001974	 0.0008228	 0.0007709	 0.0001827	
500	4	SORT______	PLATEAU	 0.0000346	 0.0002080	 0.0004120	 0.0004174	 0.0002062	
500	4	SORT______	SHUFFLE	 0.0000407	 0.0001967	 0.0009345	 0.0010147	 0.0002005	
500	4	DITHER____	STAGGER	 0.0000397	 0.0031037	 0.0066819	 0.0071526	 0.0068182	
500	4	DITHER____	SAWTOTH	 0.0000356	 0.0026403	 0.0017687	 0.0015727	 0.0016611	
500	4	DITHER____	_RANDOM	 0.0000408	 0.0025517	 0.0016275	 0.0019048	 0.0020451	
500	4	DITHER____	PLATEAU	 0.0000358	 0.0024387	 0.0014607	 0.0014612	 0.0014860	
500	4	DITHER____	SHUFFLE	 0.0000353	 0.0057110	 0.0048788	 0.0047796	 0.0053289	
500	16	IDENT_____	STAGGER	 0.0000428	 0.0056903	! 0.0097919	 0.0070453	 0.0064511	
500	16	IDENT_____	SAWTOTH	 0.0000357	 0.0066388	 0.0040057	 0.0040506	 0.0046088	
500	16	IDENT_____	_RANDOM	 0.0000358	! 0.0039497	 0.0038868	 0.0043388	 0.0043503	
500	16	IDENT_____	PLATEAU	 0.0000358	 0.0002037	 0.0003907	 0.0004091	 0.0002036	
500	16	IDENT_____	SHUFFLE	 0.0000357	 0.0065892	 0.0030163	 0.0028710	 0.0028693	
500	16	REVERSE___	STAGGER	 0.0000357	 0.0066789	 0.0064353	 0.0058730	 0.0059097	
500	16	REVERSE___	SAWTOTH	 0.0000358	 0.0068630	 0.0046358	 0.0042902	 0.0061491	
500	16	REVERSE___	_RANDOM	 0.0000356	 0.0031574	 0.0037832	 0.0038277	 0.0053796	
500	16	REVERSE___	PLATEAU	 0.0000353	 0.0004559	 0.0004435	 0.0003982	 0.0001487	
500	16	REVERSE___	SHUFFLE	 0.0000357	 0.0060885	! 0.0044357	 0.0040864	 0.0038056	
500	16	REVERSE_FR	STAGGER	 0.0000357	 0.0059945	 0.0088049	 0.0071126	 0.0069082	
500	16	REVERSE_FR	SAWTOTH	 0.0000357	 0.0080536	 0.0038053	 0.0048051	 0.0062075	
500	16	REVERSE_FR	_RANDOM	 0.0000354	 0.0031377	 0.0037902	 0.0050598	 0.0043639	
500	16	REVERSE_FR	PLATEAU	 0.0000354	 0.0011539	 0.0004332	 0.0004245	 0.0001749	
500	16	REVERSE_FR	SHUFFLE	 0.0000390	 0.0070880	 0.0042340	 0.0040380	 0.0037358	
500	16	REVERSE_BA	STAGGER	 0.0000354	 0.0064270	! 0.0088253	 0.0067514	 0.0065442	
500	16	REVERSE_BA	SAWTOTH	 0.0000353	 0.0086379	 0.0049422	 0.0045951	 0.0039922	
500	16	REVERSE_BA	_RANDOM	 0.0000356	 0.0033521	 0.0037892	 0.0041333	 0.0043183	
500	16	REVERSE_BA	PLATEAU	 0.0000408	 0.0001965	 0.0003882	 0.0003774	 0.0001980	
500	16	REVERSE_BA	SHUFFLE	 0.0000358	 0.0072372	 0.0044607	 0.0044138	 0.0046271	
500	16	SORT______	STAGGER	 0.0000383	 0.0001988	 0.0009406	 0.0009795	 0.0002032	
500	16	SORT______	SAWTOTH	 0.0000392	 0.0002010	 0.0010719	 0.0009917	 0.0002012	
500	16	SORT______	_RANDOM	 0.0000346	 0.0002057	 0.0011468	 0.0009653	 0.0002056	
500	16	SORT______	PLATEAU	 0.0000349	 0.0002079	 0.0004184	 0.0004125	 0.0002069	
500	16	SORT______	SHUFFLE	 0.0000397	 0.0002037	 0.0009067	 0.0009774	 0.0002000	
500	16	DITHER____	STAGGER	 0.0000354	 0.0067674	 0.0070802	 0.0079608	 0.0075269	
500	16	DITHER____	SAWTOTH	 0.0000405	 0.0035157	 0.0053094	 0.0048972	 0.0059942	
500	16	DITHER____	_RANDOM	 0.0000357	 0.0033920	 0.0038649	 0.0046467	 0.0039722	
500	16	DITHER____	PLATEAU	 0.0000352	 0.0026457	 0.0017303	 0.0023107	 0.0019018	
500	16	DITHER____	SHUFFLE	 0.0000355	 0.0038682	 0.0035294	 0.0031088	 0.0033691	
500	64	IDENT_____	STAGGER	 0.0000353	 0.0097396	 0.0067104	! 0.0083623	 0.0064193	
500	64	IDENT_____	SAWTOTH	 0.0000358	 0.0035962	 0.0064809	 0.0067770	 0.0059178	
500	64	IDENT_____	_RANDOM	 0.0000358	 0.0051830	 0.0060881	 0.0057654	 0.0068897	
500	64	IDENT_____	PLATEAU	 0.0000379	 0.0002070	 0.0003973	 0.0006246	 0.0002035	
500	64	IDENT_____	SHUFFLE	 0.0000357	 0.0029379	 0.0019023	 0.0014808	 0.0015251	
500	64	REVERSE___	STAGGER	 0.0000358	 0.0098762	! 0.0100703	 0.0071549	! 0.0098507	
500	64	REVERSE___	SAWTOTH	 0.0000357	 0.0039706	 0.0059574	 0.0052527	 0.0078943	
500	64	REVERSE___	_RANDOM	 0.0000357	 0.0052275	 0.0058594	 0.0058611	 0.0062836	
500	64	REVERSE___	PLATEAU	 0.0000357	 0.0004513	! 0.0007712	 0.0007101	 0.0002118	
500	64	REVERSE___	SHUFFLE	 0.0000356	 0.0032273	! 0.0041655	 0.0040253	! 0.0023922	
500	64	REVERSE_FR	STAGGER	 0.0000354	 0.0097457	 0.0073599	 0.0086916	 0.0090218	
500	64	REVERSE_FR	SAWTOTH	 0.0000356	 0.0048853	 0.0062612	 0.0071738	 0.0088951	
500	64	REVERSE_FR	_RANDOM	 0.0000357	 0.0049509	 0.0066873	 0.0067775	 0.0063473	
500	64	REVERSE_FR	PLATEAU	 0.0000354	 0.0010042	 0.0010838	 0.0013397	 0.0002141	
500	64	REVERSE_FR	SHUFFLE	 0.0000407	 0.0037346	 0.0039044	 0.0039799	! 0.0022650	
500	64	REVERSE_BA	STAGGER	 0.0000357	 0.0096909	 0.0077375	 0.0085924	 0.0069788	
500	64	REVERSE_BA	SAWTOTH	 0.0000358	! 0.0075114	! 0.0111457	 0.0071391	 0.0063994	
500	64	REVERSE_BA	_RANDOM	 0.0000415	! 0.0097221	 0.0059239	 0.0065923	 0.0069947	
500	64	REVERSE_BA	PLATEAU	 0.0000358	 0.0002017	 0.0004249	 0.0006334	 0.0002043	
500	64	REVERSE_BA	SHUFFLE	 0.0000357	! 0.0046102	 0.0036151	 0.0030546	 0.0030847	
500	64	SORT______	STAGGER	 0.0000349	 0.0002041	 0.0010305	 0.0010263	 0.0002142	
500	64	SORT______	SAWTOTH	 0.0000346	 0.0002057	 0.0010213	 0.0009668	 0.0002111	
500	64	SORT______	_RANDOM	 0.0000346	 0.0002038	 0.0009916	 0.0009651	 0.0002074	
500	64	SORT______	PLATEAU	 0.0000358	 0.0002017	 0.0004202	 0.0006341	 0.0002058	
500	64	SORT______	SHUFFLE	 0.0000346	 0.0002025	 0.0009132	 0.0010229	 0.0002057	
500	64	DITHER____	STAGGER	 0.0000356	 0.0098788	 0.0063960	 0.0066511	 0.0063553	
500	64	DITHER____	SAWTOTH	 0.0000357	 0.0059048	 0.0066331	 0.0067014	 0.0063772	
500	64	DITHER____	_RANDOM	 0.0000353	 0.0050813	 0.0064497	 0.0061582	 0.0069146	
500	64	DITHER____	PLATEAU	 0.0000357	 0.0028014	 0.0019850	 0.0021370	 0.0019709	
500	64	DITHER____	SHUFFLE	 0.0000389	 0.0032877	 0.0023026	 0.0017545	 0.0022700	
500	256	IDENT_____	STAGGER	 0.0000357	 0.0070188	 0.0067096	! 0.0120935	 0.0076790	
500	256	IDENT_____	SAWTOTH	 0.0000417	 0.0012719	 0.0096068	 0.0071004	 0.0012529	
500	256	IDENT_____	_RANDOM	 0.0000358	 0.0055274	 0.0061499	 0.0061925	 0.0064065	
500	256	IDENT_____	PLATEAU	 0.0000357	 0.0002093	 0.0010798	 0.0012046	 0.0002034	
500	256	IDENT_____	SHUFFLE	 0.0000358	! 0.0019034	 0.0014659	 0.0013746	! 0.0010359	
500	256	REVERSE___	STAGGER	 0.0000357	 0.0061649	! 0.0095586	 0.0083074	 0.0069230	
500	256	REVERSE___	SAWTOTH	 0.0000402	 0.0017430	 0.0096594	 0.0102499	 0.0015606	
500	256	REVERSE___	_RANDOM	 0.0000357	 0.0057953	 0.0068505	 0.0060362	 0.0069045	
500	256	REVERSE___	PLATEAU	 0.0000358	 0.0004382	 0.0017576	 0.0018686	 0.0004348	
500	256	REVERSE___	SHUFFLE	 0.0000390	 0.0020720	 0.0024273	 0.0037153	! 0.0113203	
500	256	REVERSE_FR	STAGGER	 0.0000356	 0.0062855	 0.0091566	! 0.0102046	 0.0065705	
500	256	REVERSE_FR	SAWTOTH	 0.0000358	 0.0015581	 0.0083687	 0.0080999	 0.0014615	
